Season,Name,Team,Season,PA,AVG,BB%,K%,OBP,SLG,OPS,ISO,BABIP,O-Swing% (sc),Z-Contact% (sc),Barrel%,HardHit%,EV,wOBA,xwOBA,NameASCII,PlayerId,MLBAMID
2017,"Addison Russell","CHC",2017,385,0.238636363,0.075324675,0.236363636,0.303896103,0.417613636,0.721509739,0.178977273,0.289156626,0.26801153,0.81555154,0.05747126,0.35249042,87.97922926682692,0.30498145191293013,0.30752857379359744,"Addison Russell",14106,608365
2018,"Addison Russell","CHC",2018,465,0.25,0.086021505,0.212903225,0.316810344,0.34047619,0.657286534,0.09047619,0.314465408,0.27582418,0.84,0.02160494,0.2654321,86.66261438862928,0.2904134862350695,0.28394479462594696,"Addison Russell",14106,608365
2019,"Addison Russell","CHC",2019,241,0.237209302,0.082987551,0.2406639,0.308333333,0.390697674,0.699031007,0.153488372,0.28,0.30652174,0.82334385,0.06875,0.28125,86.88101389438292,0.2966803147011444,0.28648801393146756,"Addison Russell",14106,608365
2015,"Adeiny Hechavarría","MIA",2015,499,0.280851063,0.046092184,0.156312625,0.314629258,0.374468085,0.689097343,0.093617022,0.324808184,0.32930108,0.875,0.01010101,0.31313131,87.5910290237467,0.2976566962521486,0.281308275250536,"Adeiny Hechavarria",10459,588751
2016,"Adeiny Hechavarría","MIA",2016,547,0.236220472,0.060329067,0.13345521,0.282568807,0.311023622,0.593592429,0.07480315,0.268965517,0.3194292,0.91253644,0.01136364,0.31363636,88.05557823634204,0.256181209282361,0.2924157949594351,"Adeiny Hechavarria",10459,588751
2017,"Adeiny Hechavarría","- - -",2017,348,0.26060606,0.037356321,0.192528735,0.289017341,0.406060606,0.695077947,0.145454546,0.303501945,0.4021544,0.88789238,0.02996255,0.34456929,87.82423001802884,0.2945276472879493,0.3003251412335564,"Adeiny Hechavarria",10459,588751
2018,"Adeiny Hechavarría","- - -",2018,321,0.246621621,0.049844236,0.180685358,0.278996865,0.344594594,0.623591459,0.097972973,0.280334728,0.38077634,0.88669951,0.0242915,0.33198381,87.13415678047839,0.26754615021052797,0.27551878974551247,"Adeiny Hechavarria",10459,588751
2019,"Adeiny Hechavarría","- - -",2019,221,0.24137931,0.063348416,0.21719457,0.298642533,0.443349753,0.741992286,0.201970443,0.272108843,0.34293194,0.87285223,0.05769231,0.29487179,87.57828883120888,0.31170125676495997,0.294281385563038,"Adeiny Hechavarria",10459,588751
2022,"Adley Rutschman","BAL",2022,470,0.253768844,0.138297872,0.182978723,0.361702127,0.444723618,0.806425745,0.190954774,0.291390728,0.22830189,0.91083916,0.07936508,0.36825397,87.90095486111112,0.3538266050054672,0.3417302557762633,"Adley Rutschman",26288,668939
2023,"Adley Rutschman","BAL",2023,687,0.277210884,0.133915574,0.147016011,0.374090247,0.435374149,0.809464396,0.158163265,0.302966101,0.24496644,0.91293833,0.07520325,0.38617886,88.42276422764228,0.35164259393834857,0.3727880581535082,"Adley Rutschman",26288,668939
2024,"Adley Rutschman","BAL",2024,638,0.250437828,0.09090909,0.161442006,0.318181818,0.390542907,0.708724725,0.140105079,0.271929824,0.30107527,0.89750329,0.06105263,0.36631579,88.16694901315789,0.30890228964212374,0.3154513141301673,"Adley Rutschman",26288,668939
2025,"Adley Rutschman","BAL",2025,365,0.220496894,0.109589041,0.156164383,0.306849315,0.366459627,0.673308942,0.145962733,0.240310077,0.22513812,0.91855204,0.07490637,0.38576779,89.43408386001873,0.2979301320363397,0.3337354895186751,"Adley Rutschman",26288,668939
2021,"Adolis García","TEX",2021,622,0.242685025,0.051446945,0.311897106,0.286173633,0.454388984,0.740562617,0.211703959,0.305555555,0.35035914,0.77971647,0.11508951,0.45524297,90.95614983974359,0.31422503498589494,0.29893505918251356,"Adolis Garcia",19287,666969
2022,"Adolis García","TEX",2022,657,0.249586776,0.0608828,0.278538812,0.299847792,0.456198347,0.756046139,0.206611571,0.309226932,0.36919676,0.76635514,0.12850467,0.47429907,92.05294117647058,0.3243692001313654,0.32172212702939557,"Adolis Garcia",19287,666969
2023,"Adolis García","TEX",2023,632,0.245045045,0.102848101,0.276898734,0.327531645,0.508108108,0.835639753,0.263063063,0.279538904,0.29542097,0.79171598,0.16062176,0.49740933,92.09688714378238,0.3541630371650563,0.3660327814802339,"Adolis Garcia",19287,666969
2024,"Adolis García","TEX",2024,637,0.224137931,0.070643642,0.277864992,0.284144427,0.4,0.684144427,0.175862069,0.2734375,0.33898305,0.78063011,0.12224939,0.4792176,91.01597051597052,0.2958071366069824,0.30619366763142003,"Adolis Garcia",19287,666969
2025,"Adolis García","TEX",2025,547,0.226824457,0.051188299,0.246800731,0.270566727,0.394477317,0.665044044,0.16765286,0.266666666,0.35105408,0.79539295,0.11609499,0.46701847,92.12618840939153,0.28580563136072823,0.3154074852619696,"Adolis Garcia",19287,666969
